"year","DEP.p","prob_at_med","TEP"
1979,119.435148709998,NA,NA
1983,64.3237769189248,0.0416978757783741,107134625532560
1984,85.0075947440302,0.016422510543724,359492992210565
1985,138.085745846857,0.0140816586650871,681031636765989
1986,257.180708167701,0.0180924752068082,987217060025357
1987,165.160338237822,0.0215454942219017,532379780778328
1988,234.723339434498,0.0360259860015872,452493817185398
1989,111.910595478643,0.0144294583991133,538633581456483
1990,119.181741019083,0.0233729483430567,354134694189498
1991,209.63647087609,0.0133740826097391,1088616941227978
1992,176.490628604489,0.0209990213887622,583706922796953
1993,175.496007937482,0.0177772091003337,685608054811557
1994,88.5784179345169,0.0195493481929907,314679091334507
1996,29.5945722930582,0.021819939341543,94195635174829.5
1998,25.6273423239411,0.0239965306073897,74169843696055.5
1999,29.4055355180872,0.00813698575258138,250979232829956
2000,35.669443576943,0.0222060944201793,111556891074351
2001,10.0886279958692,0.0303311115407808,23100215545054.2
2002,75.5671703647783,0.0197612166643442,265577776458635
2003,98.4548059725378,0.0278215081032385,245769792543950
2004,76.3879229611343,0.0196842502562705,269511979403981
2005,39.566366418851,0.0229671503491838,119644104993934
2006,6.76028979212629,0.0102282748368881,45902376847552
2007,44.8805848683235,0.0358994665727293,86824594253799.8
2008,53.5256550064353,0.04182734711237,88873834867178.6
2009,27.0628802919518,0.0275229805232395,68289007968779
2010,9.51921487869374,0.0258047621689823,25619669307394.1
2011,14.2366941510099,0.0336598260702265,29374436062883.3
2012,3.80163396042801,0.0256506127296543,10293067122193.6
2013,16.5897510230317,0.0302095662453911,38138853076890.1
2014,21.6144423522749,0.0317751906652118,47241983130221.1
2015,20.0555162403937,0.0305974042861062,45522018465070.1
2016,14.5142698926409,0.0206470404317888,48821333370953.2
2017,21.8699489452807,0.0200444096434177,75775140364312.1
2018,28.2164663055616,0.0428555804689837,45726450639013.4
2019,20.7729025212976,0.0144151278752934,100080838171181
2021,9.26675674645325,0.0395917999921614,16255291655559.9
2022,10.9954245739256,0.0206311635698814,37013532177793.9
2023,23.1356310081737,0.0211735694069518,75885626208593.8
2024,4.50702128642597,0.0192266314069398,16280159624285.6
1980,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1995,NA,NA,NA
1997,NA,NA,NA
2020,NA,NA,NA
